Company Name,Industry,Funding Stage,Amount,Location,About Company,Year Funded,Investor
inFeedo,SaaS startup,,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,"Peyush Bansal, Ritesh Malik"
Shilpa Sciences,HealthTech,Pre-series A,,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,AngelList India
MindTickle,SaaS platform,Debt,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,"Canaan Partners, NewView Capital"
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Slice,FinTech,Debt,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,"Better Capital, Gunosy"
Rapawalk,E-commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,"Sanjay Ramakrishnan, Ravi Garikipati"
Oga Fit's,Fitness startup,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,9Unicorns
LAVAL,Cosmetics,Pre-series A,,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,Jazal Group
Stride Ventures,Venture capitalist,,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,Small Industries Development Bank of India
BlackSoil,FinTech,,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,
Biocon,Healthcare,,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,Goldman Sachs
Clientjoy,SaaS startup,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020,"LetsVenture, Jyotsna Bapat"
Xpressbees,E-commerce,,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,"Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,Seed,,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,India Accelerator
Wellness Forever,HealthTech,,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,"Poonawalla, Allana Group"
MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,"Navus Ventures, Rockstart"
BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,"AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,"Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,"Rajul Garg, Purvi Capital"
Kirana King,Retail,Pre-series A,900000.0,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Rajasthan Venture Capital Fund
Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,
FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,"Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-commerce,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,"Abu Dhabi Investment Authority, GIC"
Ather Energy,Automobiles,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS startup,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,"VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,"DEG, KFW DEG"
Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,"AVANA Capital, Rebright Partners"
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,Mumbai Angels
Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,"Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,"Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,"Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,"CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,"Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,"Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,Lokmat Investments
Svami,Food & Bevarages,,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,,100000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,"Chandigarh Angels Network, Modulor Capital"
Leena AI,AI startup,,8000000.0,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,"Alan Patricof, Jim Moffatt"
Bizlog,Logistics,,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,IAN Fund
Tamasha.live,Gaming,,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"9Unicorns, Titan Capital, FirstCheque"
Fedo,AI startup,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,AIM Smart City
FabHotels,Hospitality,,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,"RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,AgriTech,Pre-series A,1000000.0,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,"Rajasthan Venture Capital Fund, Innovana Thinklabs"
FlexiLoans,FinTech,Debt,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,>Vikram Sud
BharatAgri,AgriTech,Pre-series A,,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,"021 Capital, India Quotient"
FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar"
Credable,FinTech,,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,Oaks Asset Management
Railofy,Transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,"Roots Ventures, Better Capital"
Finova Capital,FinTech,,55000000.0,"Jaipur, Rajastan",Finova Capital is a non-banking financial company.,2020,"Sequoia Capital India, Faering Capital"
Teachmint,Edtech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,Lightspeed India
Peel-Works,E-commerce,,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,"CESC Ventures, Brun Raschle"
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,9Unicorns
Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel, Sunder Nookala"
Wellversed,Healthcare,Pre-series A,,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,"KLUB Works, Shankar Narayanan"
Jumbotail,E-commerce,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming startup,,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,"Makers Fund, Courtside Ventures"
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,"RPSG Ventures, Amicus Capital"
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,"Times Group, Lightspeed"
Snackible,Healthcare,Bridge,,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,"Mumbai Angels, Murali Nair"
FreshtoHome,E-commerce,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar"
Jumbotail,Retail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,"Nexus Venture Partners, Capria Ventures"
Genius Teacher,Edtech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Sandeep Tandon, Daniel Lapus"
Krimanshi Feeds,Nutrition sector,,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Origo,AgriTech,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,Northern Arc Capital
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,"Samyakth Capital, Venture Catalysts"
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,Jungle Ventures
Biddano,Healthcare,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,Windrose Capital
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,"Base Partners, Sequoia Capital India"
Arzooo,Retail Tech,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,"3Lines, Jabbar Internet Group"
Hubilo,Tech company,Seed,4500000.0,"San Francisco, California, United States",World’s smartest virtual event platform that brings Experience & Intelligence together,2020,"Nishant Rao, Jonathan Boutelle"
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,Picus Capital
Ketos,AI startup,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,"Citi Ventures, Illuminated Funds Group"
SUGAR cosmetics,Cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,"A91 Partners, RB Investments Pte. Ltd"
Signzy,FinTech,,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,"GenNext Ventures, Contrarian Drishti Partners"
Ahaguru,Edtech,Series A,,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,Anand Mahindra
Tekion,AI startup,Series C,150000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,"Alliance Ventures, Storm Ventures"
Brighteye Ventures,Edtech,,5400000.0,"Paris, Ile-de-France, France",Education technology venture capital firm.,2020,Tandem
EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020,"Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,Seed,3000000.0,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020,Tech Mahindra
